id,source_id,babe_url,lib_url,babe_title,lib_title,title_distance,babe_title_len,lib_title_len,content_distance,babe_content_len,lib_content_len,,
4548479,,http://gayahidup.rimanews.com/musik/read/20151117/245710/Hivi-dari-i-Ngamen-i-Sampai-Ciptakan-Lagu-di-Rimanews,http://rimanews.com/gayahidup/musik/read/20151117/245710/HiVi-dari-Ngamen-Sampai-Ciptakan-Lagu-di-Rimanews,Hivi dari Ngamen Sampai Ciptakan Lagu di Rimanews,HiVi dari Ngamen Sampai Ciptakan Lagu di Rimanews,1,49,49,53,1701,1651,,
5239218,,http://gayahidup.rimanews.com/film/read/20160118/256183/Ride-Along-2-Sukses-Gusur-Star-Wars-The-Force-Awakens,http://rimanews.com/gayahidup/film/read/20160118/256183/Ride-Along-2-Sukses-Gusur-Star-Wars-The-Force-Awakens,Ride Along 2 Sukses Gusur Star Wars: The Force Awakens,Ride Along 2 Sukses Gusur Star Wars: The Force Awakens,0,54,54,215,1038,825,,
6606755,,http://teknologi.rimanews.com/otomotif/read/20160507/278394/Generasi-Terbaru-Honda-CR-V-Tertangkap-Wara-Wiri-Tengah-Diuji,http://rimanews.com/teknologi/otomotif/read/20160507/278394/Generasi-Terbaru-Honda-CR-V-Tertangkap-Wara-Wiri-Tengah-Diuji,Generasi Terbaru Honda CR-V Tertangkap Wara-Wiri Tengah Diuji,Generasi Terbaru Honda CR-V Tertangkap Wara-Wiri Tengah Diuji,0,61,61,1,494,495,,
4538495,,http://ekonomi.rimanews.com/keuangan/read/20151116/245460/Rupiah-Melemah-Tipis-ke-Rp-13-697-per-Dolar,http://rimanews.com/ekonomi/keuangan/read/20151116/245460/Rupiah-Melemah-Tipis-ke-Rp-13-697-per-Dolar,Rupiah Melemah Tipis ke Rp 13.697 per Dolar,Rupiah Melemah Tipis ke Rp 13.697 per Dolar,0,43,43,2,1663,1665,,
5745996,,http://ekonomi.rimanews.com/investasi/read/20160229/264631/Jokowi-Keputusan-Blok-Masela-Tahun-2018,http://rimanews.com/ekonomi/investasi/read/20160229/264631/Jokowi-Keputusan-Blok-Masela-Tahun-2018,Jokowi: Keputusan Blok Masela Tahun 2018,Jokowi: Keputusan Blok Masela Tahun 2018,0,40,40,63,1055,1058,,
5416264,,http://komunitas.rimanews.com/fotovideo/read/20160204/6397/Petugas-Sita-Rokok-Ilegal-di-Jawa-Tenggah,http://rimanews.com/komunitas/fotovideo/read/20160204/6397/Petugas-Sita-Rokok-Ilegal-di-Jawa-Tenggah,Petugas Sita Rokok Ilegal di Jawa Tenggah,Petugas Sita Rokok Ilegal di Jawa Tenggah,0,41,41,1,453,454,,
4199705,,http://ekonomi.rimanews.com/keuangan/read/20151001/237361/Menko-Perek-Deflasi-Bukan-Berarti-Ekonomi-Indonesia-Sudah-Membaik,http://rimanews.com/ekonomi/keuangan/read/20151001/237361/Menko-Deflasi-Bukan-Berarti-Ekonomi-Indonesia-Sudah-Membaik,Menko Perek: Deflasi Bukan Berarti Ekonomi Indonesia Sudah Membaik,Menko: Deflasi Bukan Berarti Ekonomi Indonesia Sudah Membaik,6,66,60,0,1147,1147,,
4544334,,http://internasional.rimanews.com/amerika/read/20151117/245581/CNN-Buktikan-AS-Dukung-Penuh-ISIS,http://rimanews.com/internasional/amerika/read/20151117/245581/CNN-Buktikan-AS-Dukung-Penuh-ISIS,CNN Buktikan AS Dukung Penuh ISIS,CNN Buktikan AS Dukung Penuh ISIS,0,33,33,48,1173,1129,,
5939160,,http://internasional.rimanews.com/afrika/read/20160315/267671/76-Kilogram-Gading-Gajah-Disita-di-Bandara-Mozambik,http://rimanews.com/internasional/afrika/read/20160315/267671/76-Kilogram-Gading-Gajah-Disita-di-Bandara-Mozambik,76 Kilogram Gading Gajah Disita di Bandara Mozambik,76 Kilogram Gading Gajah Disita di Bandara Mozambik,0,51,51,0,996,996,,
4198559,,http://internasional.rimanews.com/amerika/read/20151001/237366/Paus-Diam-Diam-Temui-Panitera-yang-Menentang-Pernikahan-Sesama-Jenis,http://rimanews.com/internasional/amerika/read/20151001/237366/Paus-Diam-Diam-Temui-Panitera-Penentang-Pernikahan-Sejenis,Paus Diam-Diam Temui Panitera yang Menentang Pernikahan Sesama Jenis,Paus Diam-Diam Temui Panitera Penentang Pernikahan Sejenis,12,68,58,0,2044,2044,,
4272182,,http://komunitas.rimanews.com/fotovideo/read/20151013/4348/Indonesia-Deportasi-13-Imigran-Bangladesh,http://rimanews.com/komunitas/fotovideo/read/20151013/4348/Indonesia-Deportasi-13-Imigran-Bangladesh,Indonesia Deportasi 13 Imigran Bangladesh,Indonesia Deportasi 13 Imigran Bangladesh,0,41,41,1,426,427,,
4197974,,http://internasional.rimanews.com/eropa/read/20151001/237355/Puluhan-Juta-Orang-Terancam-Kelaparan-Karena-Cuaca-Tak-Menentu,http://rimanews.com/internasional/eropa/read/20151001/237355/Puluhan-Juta-Orang-Terancam-Kelaparan-Karena-Cuaca-Tak-Menentu,Puluhan Juta Orang Terancam Kelaparan Karena Cuaca Tak Menentu,Puluhan Juta Orang Terancam Kelaparan Karena Cuaca Tak Menentu,0,62,62,1,1422,1423,,
4198293,,http://internasional.rimanews.com/timurtengah/read/20151001/237363/Wanita-Saudi-Enggan-Bekerja-di-Toko-Fashion-dan-Pakaian-Dalam,http://rimanews.com/internasional/timurtengah/read/20151001/237363/Wanita-Saudi-Enggan-Bekerja-di-Toko-Fashion-dan-Pakaian-Dalam,Wanita Saudi Enggan Bekerja di Toko Fashion dan Pakaian Dalam,Wanita Saudi Enggan Bekerja di Toko Fashion dan Pakaian Dalam,0,61,61,0,1851,1851,,
4544417,,http://nasional.rimanews.com/hukum/read/20151117/245587/JK-Yakin-Golkar-Tak-Akan-Lindungi-Setnov,http://rimanews.com/nasional/hukum/read/20151117/245587/JK-Yakin-Golkar-Tak-Akan-Lindungi-Setnov,JK Yakin Golkar Tak Akan Lindungi Setnov,JK Yakin Golkar Tak Akan Lindungi Setnov,0,40,40,1,1013,1014,,
5356370,,http://nasional.rimanews.com/hukum/read/20160128/258291/Haji-Lulung-Bersaksi-di-Kasus-Korupsi-UPS,http://rimanews.com/nasional/hukum/read/20160128/258291/Haji-Lulung-Bersaksi-di-Kasus-Korupsi-UPS,Haji Lulung Bersaksi di Kasus Korupsi UPS,Haji Lulung Bersaksi di Kasus Korupsi UPS,0,41,41,0,1763,1763,,
4521755,,http://korenista.blogspot.com/2015/11/ternyata-krystal-fx-tidak-menyukai-kai.html,,Ternyata Krystal F(X) Tidak Menyukai KAI EXO Sama Sekali,,0,56,0,0,941,0,,
